survey,PS1SN-g,PS1SN-r,PS1SN-i,PS1SN-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
PS1SN,18.3113995,17.777999899999998,17.593200699999997,17.5289001,18.32740020751953,17.82159996032715,17.618799209594727,17.56290054321289,37.06590538,-4.20285098
PS1SN,17.9790001,17.7000008,17.6082001,17.590700100000003,17.989700317382812,17.741600036621094,17.625200271606445,17.616600036621094,37.15499303,-4.13394957
PS1SN,18.8169003,18.5487995,18.4584007,18.4454994,18.829299926757812,18.593599319458008,18.476499557495117,18.467300415039062,37.18478592,-4.19542608
PS1SN,18.9484005,18.676200899999998,18.599599800000004,18.5998993,18.964500427246094,18.715299606323242,18.635900497436523,18.628299713134766,37.13439203,-4.19564236
PS1SN,17.3696995,17.0011005,16.8869991,16.872699700000002,17.39299964904785,17.04159927368164,16.91309928894043,16.904199600219727,37.04030666,-4.27335899
PS1SN,17.3598995,17.1289997,17.0646992,17.0657997,17.380199432373047,17.151100158691406,17.08679962158203,17.087400436401367,37.21244521,-4.23586303
PS1SN,17.9176998,17.6692009,17.594400399999998,17.591499300000002,17.923599243164062,17.702299118041992,17.621999740600586,17.60930061340332,37.22269974,-4.25620292
PS1SN,18.5615997,18.0440998,17.862699499999998,17.800300600000003,18.588699340820312,18.078899383544922,17.888099670410156,17.822099685668945,37.19307029,-4.28873577
PS1SN,18.453599899999997,17.6497993,17.349300399999997,17.222400699999998,18.462600708007812,17.687000274658203,17.374000549316406,17.236799240112305,37.27468293,-4.27272759
PS1SN,18.356899300000002,17.519100199999997,17.2112007,17.0685005,18.37339973449707,17.555299758911133,17.22170066833496,17.067399978637695,54.60363774,-27.00106403
PS1SN,18.9743996,18.212200199999998,17.9148998,17.7917995,18.995899200439453,18.27050018310547,17.927499771118164,17.818500518798828,54.46157027,-26.96433163
PS1SN,18.886499399999998,17.673500100000002,16.9869995,16.6690998,18.917600631713867,17.7106990814209,17.01259994506836,16.69860076904297,54.44853395,-27.19350646
PS1SN,17.7152996,17.185800600000004,17.0027008,16.9435005,17.73819923400879,17.2273006439209,17.039899826049805,16.977800369262695,54.51084066,-27.05216087
PS1SN,17.460500699999997,17.156999600000002,17.056600600000003,17.0403996,17.47209930419922,17.19879913330078,17.087900161743164,17.06450080871582,54.487725,-27.19366366
PS1SN,18.5279007,17.698799100000002,17.369100600000003,17.223400100000003,18.55430030822754,17.753400802612305,17.402299880981445,17.258399963378906,54.59453867,-27.1574297
PS1SN,18.0972004,17.6315994,17.4699993,17.415899300000003,18.12299919128418,17.684200286865234,17.494800567626953,17.458200454711914,54.4205552,-27.10447703
PS1SN,18.1418991,17.5925999,17.4036999,17.3351002,18.174299240112305,17.636699676513672,17.429899215698242,17.37619972229004,54.41320297,-27.02918844
