survey,SNLS-g,SNLS-r,SNLS-i,SNLS-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,SNLS-g_AV,SNLS-r_AV,SNLS-i_AV,SNLS-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
SNLS,17.3153,16.5699,16.2911,16.1551,17.3276,16.5902,16.3057,16.1869,36.4825,-4.7708,0.0785053,0.0554145,0.0405778,0.0316931,0.0797209,0.0564328,0.0417201,0.0329487
SNLS,18.7098,17.9685,17.677,17.5367,18.7099,17.9962,17.7014,17.5642,36.3224,-4.76986,0.0857626,0.0605372,0.044329,0.034623,0.0870906,0.0616497,0.0455769,0.0359946
SNLS,18.8728,18.1967,17.924,17.7961,18.8975,18.2245,17.9438,17.8407,36.7207,-4.76751,0.0753422,0.0531818,0.0389429,0.0304162,0.0765088,0.0541591,0.0400392,0.0316211
SNLS,18.7325,18.4248,18.3248,18.2934,18.7217,18.4362,18.3194,18.3331,36.1146,-4.76692,0.0831006,0.0586582,0.042953,0.0335483,0.0843873,0.0597361,0.0441622,0.0348773
SNLS,17.7258,17.4731,17.3944,17.3759,17.7211,17.475,17.3878,17.3898,36.3621,-4.75562,0.0820141,0.0578913,0.0423915,0.0331097,0.083284,0.0589551,0.0435848,0.0344213
SNLS,17.888,17.3661,17.162,17.0683,17.8666,17.3699,17.1613,17.0954,36.0945,-4.73821,0.0833118,0.0588073,0.0430622,0.0336335,0.0846018,0.059888,0.0442744,0.034966
SNLS,18.0456,17.3992,17.1598,17.0468,18.063,17.4165,17.1659,17.0723,36.3432,-4.73302,0.0834652,0.0589156,0.0431415,0.0336955,0.0847576,0.0599982,0.0443559,0.0350303
SNLS,17.3064,16.9712,16.845,16.803,17.3127,16.9861,16.8475,16.8248,36.2179,-4.72678,0.0802556,0.05665,0.0414825,0.0323997,0.0814983,0.057691,0.0426503,0.0336833
SNLS,18.242,17.7688,17.6069,17.5455,18.2349,17.7684,17.6156,17.5465,36.7821,-4.72313,0.0836152,0.0590214,0.043219,0.033756,0.0849098,0.060106,0.0444356,0.0350933
SNLS,18.7873,18.3232,18.1428,18.0655,18.7698,18.3425,18.1399,18.0969,36.9284,-4.72307,0.0883662,0.062375,0.0456747,0.035674,0.0897344,0.0635213,0.0469605,0.0370873
SNLS,17.5121,16.9324,16.6857,16.5658,17.5141,16.9473,16.7001,16.5999,36.8748,-4.72072,0.0878954,0.0620427,0.0454314,0.035484,0.0892563,0.0631828,0.0467103,0.0368897
