survey,CFA3S-B,CFA3S-V,CFA3S-R,CFA3S-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CFA3S-B_AV,CFA3S-V_AV,CFA3S-R_AV,CFA3S-I_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
CFA3S,18.1338,17.3799,16.8351,16.3801,17.6785,17.0978,16.8228,16.7271,257.829,5.77519,0.53502,0.410411,0.311005,0.227109,0.478377,0.338633,0.250348,0.197713
CFA3S,18.5588,17.9544,17.4486,17.0436,18.1997,17.73,17.4978,17.4128,257.826,5.75712,0.536347,0.41143,0.311776,0.227672,0.479563,0.339473,0.250969,0.198204
CFA3S,18.3238,17.5709,17.0496,16.5866,17.8601,17.3055,17.0385,16.9416,257.803,5.79937,0.536413,0.41148,0.311815,0.2277,0.479622,0.339515,0.250999,0.198228
CFA3S,17.6813,16.7549,16.1036,15.5636,17.125,16.379,16.0292,15.873,257.793,5.76965,0.531184,0.407468,0.308775,0.22548,0.474946,0.336205,0.248552,0.196296
CFA3S,17.6313,16.8189,16.2241,15.7021,17.1414,16.4911,16.1722,16.0172,257.773,5.83937,0.54584,0.418711,0.317295,0.231702,0.488051,0.345482,0.25541,0.201712
CFA3S,17.3093,16.3089,15.6041,15.0746,16.7392,15.8821,15.5265,15.3788,257.755,5.80256,0.527137,0.404364,0.306422,0.223762,0.471328,0.333644,0.246659,0.1948
CFA3S,17.6118,16.8189,16.2416,15.7911,17.1213,16.5056,16.2263,16.107,257.747,5.84069,0.539897,0.414152,0.31384,0.229179,0.482737,0.34172,0.252629,0.199515
CFA3S,18.1203,17.4499,16.9561,16.5521,17.7041,17.2211,16.9923,16.92,257.743,5.92894,0.543165,0.416659,0.315739,0.230566,0.485659,0.343788,0.254159,0.200723
CFA3S,18.2871,17.3725,16.6637,16.1544,17.7366,16.9445,16.6479,16.5279,24.673,41.6708,0.208515,0.159951,0.121209,0.0885116,0.186439,0.131976,0.0975685,0.0770552
CFA3S,16.8761,15.9475,15.2847,14.7674,16.3148,15.549,15.2555,15.1495,24.6576,41.7284,0.206529,0.158427,0.120054,0.0876686,0.184663,0.130719,0.0966392,0.0763214
CFA3S,17.3971,16.8205,16.3867,16.0194,17.027,16.6141,16.4649,16.4363,24.6382,41.6918,0.211584,0.162305,0.122993,0.0898144,0.189183,0.133919,0.0990046,0.0781894
CFA3S,18.3381,17.5155,16.9617,16.4804,17.846,17.216,16.9803,16.8782,24.6129,41.5821,0.209831,0.160961,0.121974,0.0890705,0.187616,0.13281,0.0981846,0.0775418
CFA3S,17.4551,16.8715,16.4497,16.0694,17.0868,16.6687,16.5173,16.4679,24.5907,41.5765,0.213132,0.163492,0.123893,0.0904716,0.190567,0.134899,0.099729,0.0787615
