survey,D3YR-g,D3YR-r,D3YR-i,D3YR-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,D3YR-g_AV,D3YR-r_AV,D3YR-i_AV,D3YR-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
D3YR,17.6183,16.8294,16.5983,16.4772,17.5772,16.8835,16.6302,16.5142,43.6711,-0.329634,0.219572,0.146118,0.106977,0.0814896,0.217276,0.153806,0.113707,0.0898005
D3YR,18.6018,17.7713,17.5197,17.3842,18.4653,17.8557,17.5472,17.4242,41.4814,-1.87454,0.139526,0.0928501,0.0679778,0.0517821,0.138067,0.0977349,0.0722542,0.0570632
D3YR,18.8274,18.2639,18.0714,17.9787,18.8049,18.3083,18.1045,18.0206,41.4581,-1.89968,0.135457,0.0901428,0.0659957,0.0502723,0.134041,0.0948852,0.0701475,0.0553993
D3YR,17.8276,17.0614,16.8411,16.7217,17.7866,17.126,16.8659,16.7635,42.1618,-0.140803,0.141238,0.0939895,0.068812,0.0524176,0.139761,0.0989343,0.0731409,0.0577634
D3YR,17.6116,17.2442,17.1581,17.1369,17.579,17.2659,17.1677,17.1568,41.2487,-1.77202,0.103724,0.0690249,0.0505349,0.0384949,0.102639,0.0726563,0.053714,0.0424209
D3YR,17.517,16.9517,16.7939,16.7217,17.4898,16.9972,16.8214,16.7624,41.4004,-1.0125,0.0964803,0.0642047,0.0470059,0.0358067,0.0954717,0.0675826,0.049963,0.0394585
D3YR,17.4487,16.9054,16.7646,16.7013,17.417,16.9604,16.7778,16.7285,41.4632,-1.0211,0.0947251,0.0630367,0.0461507,0.0351553,0.0937349,0.0663531,0.049054,0.0387407
D3YR,18.3247,17.9768,17.8842,17.8456,18.2822,18.0076,17.8895,17.8638,42.7963,-1.73456,0.222175,0.147851,0.108245,0.0824557,0.219852,0.155629,0.115055,0.090865
D3YR,18.3105,17.968,17.8748,17.8388,18.2762,18.0116,17.8828,17.8327,43.7902,-0.857296,0.20837,0.138664,0.101519,0.0773322,0.206191,0.145959,0.107906,0.085219
D3YR,16.8044,16.3538,16.2318,16.1871,16.7727,16.3922,16.2427,16.2078,42.1303,-0.616381,0.125602,0.0835846,0.0611943,0.0466148,0.124289,0.087982,0.065044,0.0513689
D3YR,17.1074,16.6511,16.5298,16.4727,17.1034,16.6881,16.523,16.4843,43.8239,-0.805518,0.209732,0.13957,0.102183,0.0778378,0.207539,0.146913,0.108611,0.0857761
D3YR,18.6721,18.1273,17.9713,17.9009,18.6273,18.176,17.9924,17.9232,42.733,0.280012,0.219754,0.14624,0.107066,0.0815573,0.217457,0.153933,0.113801,0.089875
D3YR,17.0897,16.6831,16.5728,16.5233,17.0406,16.7205,16.571,16.5374,42.389,-0.0744457,0.172759,0.114966,0.0841696,0.0641162,0.170954,0.121015,0.0894646,0.0706552
D3YR,18.7039,17.9029,17.6031,17.4278,18.6698,17.9725,17.6431,17.4932,43.8667,-0.635043,0.211427,0.140698,0.103009,0.0784668,0.209217,0.1481,0.109489,0.0864693
D3YR,17.0327,16.4008,16.2054,16.1008,16.9827,16.4508,16.2181,16.1349,40.8185,-0.00112835,0.104446,0.0695058,0.0508869,0.0387631,0.103354,0.0731625,0.0540881,0.0427164
D3YR,18.2231,17.5373,17.3086,17.1792,18.1715,17.5991,17.3238,17.2281,40.6444,-0.104133,0.104052,0.0692432,0.0506947,0.0386167,0.102964,0.0728861,0.0538838,0.042555
D3YR,18.1683,17.783,17.6744,17.6318,18.1403,17.8236,17.6929,17.6313,40.6486,-0.115259,0.103504,0.068879,0.050428,0.0384135,0.102422,0.0725027,0.0536004,0.0423312
