survey,CFA4P2-B,CFA4P2-V,CFA4P2-r,CFA4P2-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CFA4P2-B_AV,CFA4P2-V_AV,CFA4P2-r_AV,CFA4P2-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
CFA4,16.637,15.9776,15.7733,15.5865,16.1868,15.7163,15.5388,15.4923,306.563,2.83859,0.43039,0.330171,0.271104,0.19945,0.391932,0.277441,0.205109,0.161986
CFA4,17.1411,16.4572,16.2294,16.0118,16.6557,16.1554,15.9705,15.9078,306.56,2.84755,0.43607,0.334528,0.274682,0.202082,0.397105,0.281103,0.207816,0.164124
CFA4,17.7991,17.2078,17.0025,16.8187,17.3431,16.9051,16.7321,16.6925,306.558,2.88126,0.445031,0.341403,0.280327,0.206235,0.405266,0.28688,0.212087,0.167497
CFA4,16.058,15.4833,15.3068,15.1629,15.6502,15.2572,15.1276,15.1045,306.557,2.82545,0.418723,0.32122,0.263755,0.194043,0.381308,0.26992,0.199549,0.157595
CFA4,16.396,15.7785,15.6029,15.4488,16.0399,15.616,15.47,15.4378,306.555,2.9148,0.448991,0.344441,0.282821,0.20807,0.408872,0.289432,0.213974,0.168987
CFA4,17.6616,16.7873,16.5061,16.2569,17.1484,16.5284,16.3102,16.2182,306.554,2.89113,0.445648,0.341876,0.280715,0.206521,0.405827,0.287277,0.21238,0.167729
CFA4,17.7665,17.0608,16.8042,16.5642,17.2306,16.7362,16.5235,16.4496,306.551,2.88596,0.444538,0.341024,0.280016,0.206007,0.404816,0.286561,0.211851,0.167311
CFA4,17.4079,16.621,16.3295,16.0691,16.9094,16.2979,16.0417,15.9407,306.549,2.90096,0.44523,0.341555,0.280452,0.206327,0.405447,0.287008,0.212181,0.167571
CFA4,16.7409,15.9959,15.7392,15.532,16.2323,15.6905,15.4985,15.4277,306.543,2.89315,0.442903,0.33977,0.278986,0.205249,0.403327,0.285507,0.211072,0.166695
CFA4,17.7257,17.1231,16.889,16.563,17.4598,16.8364,16.5555,16.4337,306.536,2.91236,0.442392,0.339378,0.278664,0.205012,0.402862,0.285178,0.210829,0.166503
CFA4,17.4872,16.889,16.6272,16.3657,17.1506,16.629,16.3986,16.3155,57.5122,-3.32703,0.457968,0.351327,0.288476,0.21223,0.417046,0.295219,0.218252,0.172366
CFA4,17.642,16.7118,16.2992,15.9326,17.1006,16.2878,15.9523,15.8057,57.5028,-3.30199,0.465086,0.356788,0.292959,0.215529,0.423528,0.299807,0.221644,0.175045
CFA4,17.6769,16.8053,16.4398,16.1315,17.171,16.4368,16.1578,16.0271,57.4976,-3.35484,0.448418,0.344001,0.28246,0.207805,0.40835,0.289063,0.213701,0.168771
CFA4,17.1253,16.4851,16.2439,16.0243,16.743,16.2417,16.0604,15.9948,57.4889,-3.19315,0.454702,0.348821,0.286418,0.210717,0.414072,0.293113,0.216695,0.171136
CFA4,16.4286,15.7822,15.5605,15.3532,16.0203,15.5467,15.3637,15.2968,57.4581,-3.2645,0.469291,0.360014,0.295608,0.217478,0.427358,0.302518,0.223648,0.176627
CFA4,16.9246,16.1857,15.9137,15.6605,16.4733,15.9086,15.6838,15.5846,57.4457,-3.2443,0.470326,0.360807,0.29626,0.217957,0.4283,0.303185,0.224141,0.177017
CFA4,16.3067,15.7713,15.5978,15.4221,15.9935,15.5975,15.4412,15.4111,129.14,28.1484,0.141825,0.1088,0.0893359,0.0657241,0.129152,0.0914243,0.0675888,0.0533786
CFA4,17.2507,16.538,16.2865,16.066,16.846,16.2864,16.0762,16.0013,129.134,28.0899,0.14073,0.10796,0.0886462,0.0652167,0.128155,0.0907184,0.067067,0.0529665
CFA4,16.985,16.2496,15.9704,15.7469,16.5549,15.9857,15.7685,15.7002,129.13,28.1519,0.141617,0.108641,0.0892052,0.0656279,0.128963,0.0912905,0.0674899,0.0533005
CFA4,16.1997,15.4451,15.1526,14.9188,15.7477,15.1544,14.9082,14.8321,129.099,28.0087,0.141897,0.108855,0.0893812,0.0657574,0.129218,0.0914706,0.0676231,0.0534057
