survey,ATLAS-c0,ATLAS-o0,ATLAS-c1,ATLAS-o1,ATLAS-c2,ATLAS-o2,ATLAS-c3,ATLAS-o3,ATLAS-c4,ATLAS-o4,ATLAS-c5,ATLAS-o5,ATLAS-c6,ATLAS-o6,ATLAS-c7,ATLAS-o7,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,ATLAS-c0_AV,ATLAS-o0_AV,ATLAS-c1_AV,ATLAS-o1_AV,ATLAS-c2_AV,ATLAS-o2_AV,ATLAS-c3_AV,ATLAS-o3_AV,ATLAS-c4_AV,ATLAS-o4_AV,ATLAS-c5_AV,ATLAS-o5_AV,ATLAS-c6_AV,ATLAS-o6_AV,ATLAS-c7_AV,ATLAS-o7_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
ATLAS,-999,17.6265,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17.9933,17.6612,17.5232,17.4851,31.1371,0.533621,0.0639479,0.0452937,0.0639479,0.0452937,0.0639479,0.0452937,0.0639479,0.0452937,0.0639479,0.0452937,0.0639479,0.0452937,0.0639479,0.0452937,0.0639479,0.0452937,0.0743803,0.0526523,0.0389252,0.0307414
ATLAS,-999,17.8747,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.4174,17.92,17.7228,17.6478,31.0263,0.875644,0.0602337,0.042663,0.0602337,0.042663,0.0602337,0.042663,0.0602337,0.042663,0.0602337,0.042663,0.0602337,0.042663,0.0602337,0.042663,0.0602337,0.042663,0.0700602,0.0495942,0.0366644,0.0289559
ATLAS,-999,17.27,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17.5158,17.297,17.217,17.2165,31.275,0.644426,0.0641854,0.0454619,0.0641854,0.0454619,0.0641854,0.0454619,0.0641854,0.0454619,0.0641854,0.0454619,0.0641854,0.0454619,0.0641854,0.0454619,0.0641854,0.0454619,0.0746566,0.0528479,0.0390698,0.0308556
ATLAS,-999,17.284,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17.9261,17.3938,17.1519,17.067,31.3142,0.645545,0.0644472,0.0456474,0.0644472,0.0456474,0.0644472,0.0456474,0.0644472,0.0456474,0.0644472,0.0456474,0.0644472,0.0456474,0.0644472,0.0456474,0.0644472,0.0456474,0.0749611,0.0530635,0.0392292,0.0309815
ATLAS,-999,17.4385,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17.9078,17.4956,17.3493,17.3232,31.4123,0.604,0.0668412,0.047343,0.0668412,0.047343,0.0668412,0.047343,0.0668412,0.047343,0.0668412,0.047343,0.0668412,0.047343,0.0668412,0.047343,0.0668412,0.047343,0.0777457,0.0550346,0.0406864,0.0321323
ATLAS,-999,17.7984,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.5403,17.9182,17.6593,17.5681,31.3564,0.661582,0.0638821,0.0452471,0.0638821,0.0452471,0.0638821,0.0452471,0.0638821,0.0452471,0.0638821,0.0452471,0.0638821,0.0452471,0.0638821,0.0452471,0.0638821,0.0452471,0.0743038,0.0525982,0.0388852,0.0307098
ATLAS,-999,17.4283,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.2112,17.538,17.288,17.1854,31.3228,0.874807,0.0629368,0.0445775,0.0629368,0.0445775,0.0629368,0.0445775,0.0629368,0.0445775,0.0629368,0.0445775,0.0629368,0.0445775,0.0629368,0.0445775,0.0629368,0.0445775,0.0732042,0.0518198,0.0383098,0.0302554
ATLAS,-999,16.9555,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17.7518,17.0931,16.8026,16.6964,31.5091,0.79323,0.0661873,0.0468799,0.0661873,0.0468799,0.0661873,0.0468799,0.0661873,0.0468799,0.0661873,0.0468799,0.0661873,0.0468799,0.0661873,0.0468799,0.0661873,0.0468799,0.0769851,0.0544962,0.0402884,0.031818
ATLAS,-999,17.3842,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.1491,17.4983,17.238,17.1195,31.3065,0.885385,0.0623927,0.0441922,0.0623927,0.0441922,0.0623927,0.0441922,0.0623927,0.0441922,0.0623927,0.0441922,0.0623927,0.0441922,0.0623927,0.0441922,0.0623927,0.0441922,0.0725714,0.0513719,0.0379786,0.0299938
ATLAS,-999,17.4225,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17.811,17.4646,17.3554,17.3272,31.6416,0.629335,0.073407,0.0519935,0.073407,0.0519935,0.073407,0.0519935,0.073407,0.0519935,0.073407,0.0519935,0.073407,0.0519935,0.073407,0.0519935,0.073407,0.0519935,0.0853825,0.0604406,0.044683,0.0352886
ATLAS,-999,17.3145,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.0045,17.4137,17.1943,17.1245,31.2612,0.990436,0.063598,0.0450458,0.063598,0.0450458,0.063598,0.0450458,0.063598,0.0450458,0.063598,0.0450458,0.063598,0.0450458,0.063598,0.0450458,0.063598,0.0450458,0.0739733,0.0523642,0.0387122,0.0305732
ATLAS,-999,17.897,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.4415,17.8908,17.6648,17.5865,31.3714,0.830908,0.0619132,0.0438525,0.0619132,0.0438525,0.0619132,0.0438525,0.0619132,0.0438525,0.0619132,0.0438525,0.0619132,0.0438525,0.0619132,0.0438525,0.0619132,0.0438525,0.0720136,0.050977,0.0376867,0.0297633
ATLAS,-999,17.9415,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.3532,17.9949,17.8698,17.8385,31.2003,0.728725,0.0669784,0.0474402,0.0669784,0.0474402,0.0669784,0.0474402,0.0669784,0.0474402,0.0669784,0.0474402,0.0669784,0.0474402,0.0669784,0.0474402,0.0669784,0.0474402,0.0779052,0.0551476,0.0407699,0.0321983
ATLAS,-999,17.549,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.1662,17.5951,17.3616,17.2854,31.4277,0.998535,0.0675229,0.0478259,0.0675229,0.0478259,0.0675229,0.0478259,0.0675229,0.0478259,0.0675229,0.0478259,0.0675229,0.0478259,0.0675229,0.0478259,0.0675229,0.0478259,0.0785386,0.0555959,0.0411014,0.03246
ATLAS,-999,17.5211,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.2219,17.6117,17.39,17.3202,31.8806,0.992253,0.0659241,0.0466934,0.0659241,0.0466934,0.0659241,0.0466934,0.0659241,0.0466934,0.0659241,0.0466934,0.0659241,0.0466934,0.0659241,0.0466934,0.0659241,0.0466934,0.0766789,0.0542795,0.0401282,0.0316914
ATLAS,-999,17.3957,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.0846,17.4799,17.2554,17.1886,31.8636,0.992756,0.0662757,0.0469425,0.0662757,0.0469425,0.0662757,0.0469425,0.0662757,0.0469425,0.0662757,0.0469425,0.0662757,0.0469425,0.0662757,0.0469425,0.0662757,0.0469425,0.0770879,0.054569,0.0403422,0.0318605
