survey,DES-g,DES-r,DES-i,DES-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,DES-g_AV,DES-r_AV,DES-i_AV,DES-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
DES,18.6991,17.8658,17.5965,17.4471,18.6476,17.9157,17.6229,17.5048,42.0453,0.822284,0.152362,0.101392,0.0742316,0.0565459,0.150769,0.106726,0.0789014,0.0623128
DES,17.9058,17.4779,17.3551,17.2989,17.8757,17.4986,17.3576,17.3197,42.1062,0.506747,0.148249,0.0986551,0.0722278,0.0550195,0.146699,0.103845,0.0767716,0.0606308
DES,18.5793,18.1155,17.9793,17.9243,18.5625,18.1336,17.988,17.9485,41.8596,0.768208,0.123818,0.0823971,0.0603249,0.0459525,0.122524,0.086732,0.0641199,0.0506391
DES,16.8098,16.5436,16.466,16.4446,16.7966,16.5499,16.4556,16.4542,42.2134,0.921282,0.172444,0.114756,0.0840158,0.0639991,0.170641,0.120794,0.0893012,0.0705261
DES,16.0745,15.2551,14.9906,14.8356,16.0262,15.3205,15.0208,14.889,42.1942,0.211463,0.14796,0.0984628,0.0720871,0.0549123,0.146413,0.103643,0.076622,0.0605126
DES,17.5075,17.2487,17.1756,17.1635,17.5001,17.2547,17.1713,17.1567,41.98,0.76494,0.140478,0.093484,0.0684419,0.0521357,0.13901,0.0984022,0.0727475,0.0574528
DES,18.6622,18.3114,18.2006,18.1518,18.6265,18.3373,18.2153,18.1838,41.8635,0.854435,0.130972,0.0871579,0.0638104,0.0486076,0.129603,0.0917433,0.0678247,0.0535649
DES,18.1963,17.5421,17.3392,17.2269,18.1535,17.5867,17.3377,17.2542,42.0398,0.823512,0.151923,0.1011,0.0740179,0.0563832,0.150335,0.106419,0.0786743,0.0621335
DES,18.948,18.3461,18.1572,18.0619,18.8871,18.3895,18.1763,18.1151,41.8638,0.747027,0.123546,0.0822159,0.0601923,0.0458515,0.122254,0.0865413,0.0639789,0.0505277
DES,18.4847,17.9431,17.7834,17.7094,18.4594,17.993,17.7819,17.7403,42.8732,0.66331,0.221504,0.147404,0.107918,0.0822068,0.219189,0.155159,0.114707,0.0905908
DES,18.6084,17.9913,17.7785,17.6634,18.5473,18.0163,17.7992,17.6965,42.1251,0.902952,0.16682,0.111014,0.081276,0.061912,0.165076,0.116854,0.086389,0.0682262
DES,17.7602,17.2378,17.0398,16.949,17.6711,17.2473,17.0486,16.9706,41.8719,0.726807,0.12509,0.0832438,0.0609448,0.0464247,0.123783,0.0876233,0.0647788,0.0511594
DES,18.8307,18.5249,18.4387,18.4095,18.8257,18.5519,18.4407,18.4504,42.0355,0.755967,0.145687,0.0969504,0.0709798,0.0540689,0.144164,0.102051,0.0754451,0.0595832
DES,17.046,16.6169,16.4958,16.4444,17.0238,16.6389,16.503,16.4689,42.2142,0.845553,0.171912,0.114403,0.0837569,0.0638018,0.170115,0.120421,0.089026,0.0703087
DES,18.6232,17.9269,17.7036,17.578,18.5894,17.9841,17.7263,17.6191,43.0968,0.847919,0.236465,0.15736,0.115207,0.0877593,0.233993,0.165639,0.122455,0.0967095
DES,17.4814,17.0044,16.8592,16.7967,17.447,17.0318,16.8638,16.8192,42.0991,0.789628,0.155733,0.103636,0.0758742,0.0577972,0.154105,0.109088,0.0806474,0.0636917
DES,17.3863,16.9362,16.816,16.7601,17.3545,16.9581,16.8181,16.7858,42.0497,0.912714,0.157409,0.104751,0.0766909,0.0584193,0.155764,0.110262,0.0815154,0.0643772
DES,16.2623,15.5074,15.2793,15.1351,16.2221,15.5605,15.2978,15.1912,42.2613,0.06404,0.157631,0.104898,0.0767987,0.0585014,0.155983,0.110417,0.0816301,0.0644678
DES,18.0467,17.5908,17.4497,17.3876,18.0235,17.6157,17.4622,17.3919,42.4237,0.993447,0.180405,0.120054,0.0878945,0.0669537,0.178519,0.12637,0.0934239,0.073782
