survey,CSP-g,CSP-r,CSP-i,CSP-B,CSP-V,CSP-o,CSP-m,CSP-n,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CSP-g_AV,CSP-r_AV,CSP-i_AV,CSP-B_AV,CSP-V_AV,CSP-o_AV,CSP-m_AV,CSP-n_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
CSP,16.0622,15.4693,15.2574,16.4259,15.7268,15.7268,15.7268,15.7268,15.9641,15.4698,15.2815,15.222,37.7315,-2.91993,0.0947227,0.065354,0.0476988,0.103182,0.0813505,0.0802646,0.0802646,0.0802646,0.0928641,0.0657367,0.0485983,0.0383808
CSP,16.4601,16.0233,15.8763,16.7763,16.1987,16.1987,16.1987,16.1987,16.3942,16.0232,15.8948,15.8624,224.911,16.7187,0.111758,0.0771072,0.056277,0.121738,0.0959807,0.0946995,0.0946995,0.0946995,0.109565,0.0775588,0.0573383,0.0452832
CSP,15.8291,15.0296,14.7386,16.2711,15.4172,15.4172,15.4172,15.4172,15.7451,15.0484,14.7963,14.7089,184.373,16.4022,0.099368,0.068559,0.0500381,0.108242,0.0853401,0.0842009,0.0842009,0.0842009,0.0974183,0.0689605,0.0509817,0.0402631
CSP,18.577,17.8553,17.5845,18.9894,18.2463,18.2463,18.2463,18.2463,18.5186,17.9068,17.6998,17.5794,181.02,20.4662,0.0901551,0.0622026,0.0453988,0.0982065,0.0774278,0.0763943,0.0763943,0.0763943,0.0883862,0.0625669,0.0462549,0.0365301
CSP,17.7148,17.3,17.1084,18.064,17.4349,17.4349,17.4349,17.4349,17.6685,17.2794,17.123,17.1186,192.424,-11.1142,0.145436,0.100344,0.0732363,0.158424,0.124905,0.123237,0.123237,0.123237,0.142583,0.100931,0.0746173,0.0589294
CSP,16.5032,15.9833,15.7724,16.8547,16.2291,16.2291,16.2291,16.2291,16.469,16.0132,15.8469,15.7825,192.395,-11.0842,0.145763,0.100569,0.0734009,0.158781,0.125185,0.123514,0.123514,0.123514,0.142903,0.101158,0.0747851,0.0590619
CSP,16.9469,16.5233,16.3783,17.2256,16.6986,16.6986,16.6986,16.6986,16.9142,16.5596,16.4216,16.3937,192.408,-11.101,0.145487,0.100379,0.0732621,0.15848,0.124949,0.123281,0.123281,0.123281,0.142633,0.100967,0.0746437,0.0589502
CSP,18.1513,17.7695,17.6742,18.4285,17.9438,17.9438,17.9438,17.9438,18.1754,17.8007,17.6884,17.6638,192.457,-11.0873,0.145824,0.100611,0.0734316,0.158847,0.125238,0.123566,0.123566,0.123566,0.142963,0.101201,0.0748163,0.0590866
CSP,15.3494,14.9622,14.8243,15.657,15.1192,15.1192,15.1192,15.1192,15.3233,14.9613,14.836,14.8146,77.9266,5.197,0.360493,0.248722,0.181531,0.392687,0.309601,0.305469,0.305469,0.305469,0.35342,0.250179,0.184954,0.146068
CSP,16.4231,15.6964,15.4195,16.8551,16.0273,16.0273,16.0273,16.0273,16.3435,15.6897,15.4286,15.3307,77.9537,5.2433,0.358515,0.247357,0.180535,0.390532,0.307903,0.303793,0.303793,0.303793,0.35148,0.248806,0.183939,0.145267
CSP,16.3694,15.8383,15.6274,16.7256,16.0491,16.0491,16.0491,16.0491,16.3038,15.8288,15.6354,15.5923,77.9333,5.25396,0.358463,0.247322,0.180509,0.390476,0.307859,0.303749,0.303749,0.303749,0.35143,0.24877,0.183913,0.145246
CSP,16.4877,15.93,15.7374,16.8654,16.1718,16.1718,16.1718,16.1718,16.4097,15.9247,15.7293,15.6815,77.9867,5.25697,0.357166,0.246427,0.179856,0.389063,0.306744,0.30265,0.30265,0.30265,0.350158,0.24787,0.183247,0.14472
CSP,17.0282,16.1463,15.8107,17.4913,16.5517,16.5517,16.5517,16.5517,16.9125,16.1281,15.8307,15.7035,77.8965,5.22543,0.359145,0.247792,0.180852,0.391219,0.308444,0.304327,0.304327,0.304327,0.352098,0.249243,0.184263,0.145522
CSP,17.022,16.5916,16.4243,17.3318,16.7626,16.7626,16.7626,16.7626,16.9845,16.5826,16.4365,16.4118,77.9805,5.1725,0.360449,0.248692,0.181509,0.392639,0.309564,0.305432,0.305432,0.305432,0.353377,0.250148,0.184932,0.146051
CSP,17.5158,17.0956,16.9293,17.8426,17.2707,17.2707,17.2707,17.2707,17.4461,17.0891,16.9282,16.9065,77.9954,5.22468,0.357782,0.246852,0.180166,0.389734,0.307273,0.303172,0.303172,0.303172,0.350762,0.248298,0.183563,0.14497
CSP,17.5907,16.9675,16.7434,18.014,17.2572,17.2572,17.2572,17.2572,17.5047,16.9642,16.7402,16.6631,77.8974,5.16543,0.359608,0.248112,0.181086,0.391724,0.308842,0.304719,0.304719,0.304719,0.352553,0.249565,0.1845,0.14571
CSP,17.6447,17.092,16.9024,17.9548,17.3284,17.3284,17.3284,17.3284,17.6,17.1305,16.9329,16.8549,77.9738,5.188,0.360259,0.248561,0.181413,0.392432,0.309401,0.305271,0.305271,0.305271,0.35319,0.250016,0.184834,0.145974
CSP,18.4201,17.4757,17.1137,18.9771,17.898,17.898,17.898,17.898,18.2668,17.4445,17.1325,17.0006,77.9525,5.17899,0.360925,0.24902,0.181748,0.393157,0.309972,0.305835,0.305835,0.305835,0.353843,0.250479,0.185176,0.146244
CSP,18.345,17.7735,17.4906,18.5458,18.0179,18.0179,18.0179,18.0179,18.2852,17.7979,17.618,17.5542,77.9723,5.23289,0.358362,0.247252,0.180458,0.390366,0.307771,0.303663,0.303663,0.303663,0.351331,0.2487,0.183861,0.145205
CSP,16.4638,15.6832,15.4175,16.915,16.0412,16.0412,16.0412,16.0412,16.3503,15.676,15.4252,15.33,47.2443,-7.07822,0.222301,0.153377,0.111943,0.242154,0.190919,0.18837,0.18837,0.18837,0.21794,0.154275,0.114054,0.0900746
CSP,17.4944,17.0327,16.8613,17.7749,17.2408,17.2408,17.2408,17.2408,17.4233,17.026,16.8893,16.857,47.2159,-7.08269,0.228864,0.157905,0.115248,0.249303,0.196555,0.193931,0.193931,0.193931,0.224374,0.15883,0.117421,0.0927338
CSP,17.468,16.8936,16.6674,17.7722,17.1558,17.1558,17.1558,17.1558,17.3697,16.8881,16.6822,16.6277,45.3439,-0.503217,0.371268,0.256156,0.186957,0.404424,0.318855,0.314599,0.314599,0.314599,0.363983,0.257657,0.190482,0.150434
CSP,15.8018,15.3845,15.2243,16.1158,15.5446,15.5446,15.5446,15.5446,15.7263,15.3583,15.2271,15.212,29.201,-0.168877,0.103919,0.0716993,0.05233,0.1132,0.089249,0.0880577,0.0880577,0.0880577,0.10188,0.0721192,0.0533168,0.0421073
CSP,16.5893,16.0637,15.8953,16.9418,16.2833,16.2833,16.2833,16.2833,16.4974,16.0501,15.8932,15.8543,29.1691,-0.263528,0.104136,0.0718486,0.052439,0.113436,0.0894348,0.088241,0.088241,0.088241,0.102093,0.0722693,0.0534278,0.0421949
CSP,17.9406,17.2467,17.0095,18.3591,17.5602,17.5602,17.5602,17.5602,17.8327,17.2524,17.0118,16.945,29.1733,-0.264356,0.103997,0.0717525,0.0523689,0.113284,0.0893153,0.088123,0.088123,0.088123,0.101956,0.0721727,0.0533564,0.0421385
CSP,15.8226,15.3433,15.1983,16.1587,15.5419,15.5419,15.5419,15.5419,15.744,15.3355,15.201,15.1684,21.7151,-1.27578,0.126868,0.0875328,0.0638862,0.138198,0.108958,0.107504,0.107504,0.107504,0.124379,0.0880454,0.0650909,0.0514059
CSP,16.2927,15.6644,15.4494,16.7076,15.9441,15.9441,15.9441,15.9441,16.1972,15.6533,15.4483,15.3863,21.6995,-1.27685,0.126073,0.0869839,0.0634855,0.137332,0.108275,0.10683,0.10683,0.10683,0.123599,0.0874933,0.0646827,0.0510835
CSP,16.4589,15.8197,15.5825,16.8583,16.0898,16.0898,16.0898,16.0898,16.3518,15.799,15.5995,15.518,7.0048,-1.19149,0.0691319,0.0476976,0.0348123,0.0753058,0.0593724,0.0585799,0.0585799,0.0585799,0.0677755,0.0479769,0.0354687,0.0280116
CSP,17.683,16.8226,16.4697,18.1087,17.2382,17.2382,17.2382,17.2382,17.5464,16.8077,16.5153,16.3825,6.94924,-1.23336,0.0742473,0.051227,0.0373882,0.080878,0.0637657,0.0629145,0.0629145,0.0629145,0.0727905,0.051527,0.0380933,0.0300844
