survey,SDSS-g,SDSS-r,SDSS-i,SDSS-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,SDSS-g_AV,SDSS-r_AV,SDSS-i_AV,SDSS-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
SDSS,17.8838,17.3307,17.15,17.0691,17.8052,17.3457,17.1621,17.1011,308.517,0.337812,0.378523,0.260111,0.192676,0.143978,0.365054,0.258415,0.191043,0.150877
SDSS,18.6383,17.7291,17.3818,17.1663,18.4989,17.7082,17.3671,17.1888,308.517,1.10792,0.305053,0.209624,0.155278,0.116032,0.294198,0.208257,0.153962,0.121592
SDSS,18.2185,17.6118,17.3877,17.2658,18.1194,17.6107,17.3819,17.2884,308.517,0.370446,0.381931,0.262453,0.194411,0.145274,0.368341,0.260741,0.192763,0.152236
SDSS,17.6516,17.1651,16.9753,16.8902,17.5867,17.1616,16.9835,16.926,308.517,0.271054,0.376243,0.258544,0.191515,0.143111,0.362855,0.256858,0.189892,0.149968
SDSS,16.106,15.5361,15.3589,15.2715,16.017,15.5365,15.3517,15.2978,308.517,0.367858,0.382242,0.262667,0.194569,0.145392,0.368641,0.260954,0.19292,0.152359
SDSS,16.721,16.1492,15.9569,15.8473,16.6374,16.1493,15.9577,15.8815,308.518,-0.0837167,0.408573,0.280761,0.207972,0.155408,0.394035,0.27893,0.206209,0.162855
SDSS,16.819,16.1389,15.9332,15.8272,16.7202,16.1497,15.9327,15.864,308.518,0.363141,0.382167,0.262615,0.194531,0.145364,0.368569,0.260902,0.192882,0.15233
SDSS,17.4601,16.8341,16.6141,16.4985,17.3827,16.8361,16.62,16.53,308.518,1.23159,0.311468,0.214033,0.158544,0.118472,0.300385,0.212637,0.1572,0.124149
SDSS,17.0125,16.4879,16.3214,16.2306,16.9284,16.4949,16.3198,16.2656,308.518,-0.0768895,0.408711,0.280856,0.208042,0.15546,0.394168,0.279024,0.206279,0.16291
SDSS,18.9615,18.0672,17.7495,17.5492,18.8435,18.0734,17.7557,17.603,308.519,1.12266,0.304128,0.208988,0.154807,0.11568,0.293306,0.207626,0.153495,0.121224
SDSS,18.7394,18.0976,17.8801,17.7548,18.66,18.122,17.8839,17.7838,308.519,-0.0929744,0.408422,0.280657,0.207895,0.15535,0.39389,0.278827,0.206133,0.162795
SDSS,18.7299,18.3501,18.1929,18.1219,18.691,18.343,18.1994,18.1676,308.519,0.696527,0.314673,0.216235,0.160175,0.119691,0.303477,0.214825,0.158818,0.125427
SDSS,18.5303,17.9123,17.6628,17.5285,18.4527,17.9029,17.671,17.5727,308.519,1.15379,0.305333,0.209817,0.155421,0.116139,0.294469,0.208449,0.154104,0.121704
SDSS,17.06,16.4828,16.2982,16.1906,16.9709,16.493,16.2822,16.2151,308.52,-0.113124,0.405965,0.278968,0.206645,0.154416,0.39152,0.277149,0.204893,0.161815
SDSS,18.9239,18.3117,18.0646,17.9218,18.8609,18.3244,18.0822,18.0118,308.521,-0.557994,0.576201,0.39595,0.293298,0.219168,0.555698,0.393368,0.290812,0.22967
SDSS,18.917,18.4491,18.2818,18.2076,18.8362,18.4699,18.2835,18.2567,308.521,0.330484,0.377477,0.259392,0.192143,0.14358,0.364045,0.2577,0.190515,0.15046
SDSS,18.2616,17.572,17.3355,17.2037,18.1745,17.5734,17.3351,17.2478,308.521,-0.0784848,0.407919,0.280311,0.207639,0.155159,0.393404,0.278483,0.205879,0.162594
SDSS,17.7801,17.2772,17.0926,17.0023,17.718,17.2765,17.0985,17.0312,308.522,1.07563,0.307338,0.211195,0.156441,0.116901,0.296402,0.209817,0.155115,0.122503
SDSS,17.6165,16.9872,16.7875,16.6931,17.5201,16.9844,16.7921,16.73,308.522,1.12334,0.30287,0.208124,0.154167,0.115202,0.292093,0.206767,0.15286,0.120722
SDSS,18.6334,17.7286,17.428,17.2255,18.5273,17.7388,17.4222,17.2749,308.522,-1.01125,0.585774,0.402528,0.298171,0.222809,0.564931,0.399903,0.295644,0.233486
SDSS,17.3692,16.5303,16.2582,16.1106,17.2452,16.5269,16.2592,16.1571,308.523,-0.0162972,0.401518,0.275912,0.204381,0.152724,0.387231,0.274113,0.202648,0.160043
SDSS,16.5562,16.0446,15.8616,15.7931,16.4674,16.0309,15.8668,15.8128,308.523,1.19391,0.307953,0.211617,0.156755,0.117135,0.296996,0.210237,0.155426,0.122748
SDSS,17.8196,17.3356,17.1677,17.0882,17.7302,17.3279,17.1816,17.144,308.523,1.21242,0.30706,0.211003,0.1563,0.116795,0.296134,0.209627,0.154975,0.122392
SDSS,18.1772,17.5368,17.3122,17.1791,18.0765,17.5477,17.3067,17.2231,308.523,-0.147636,0.404545,0.277992,0.205922,0.153876,0.39015,0.27618,0.204176,0.161249
SDSS,18.8121,18.2693,18.0944,18.0144,18.7301,18.289,18.1005,18.0343,308.523,0.38699,0.379579,0.260837,0.193214,0.144379,0.366073,0.259136,0.191576,0.151298
SDSS,17.9567,17.506,17.3552,17.2862,17.8946,17.5037,17.3667,17.302,308.524,1.07259,0.306981,0.210949,0.156259,0.116765,0.296057,0.209573,0.154935,0.122361
SDSS,16.5179,15.9339,15.7235,15.6035,16.4214,15.9212,15.7052,15.6185,308.524,-0.965563,0.585007,0.402001,0.29778,0.222517,0.564191,0.399379,0.295256,0.23318
SDSS,16.886,16.0773,15.7881,15.6204,16.7793,16.0684,15.7821,15.6535,308.525,-0.934469,0.593809,0.40805,0.302261,0.225865,0.57268,0.405389,0.299699,0.236689
SDSS,18.2378,17.7964,17.6227,17.5661,18.1909,17.7825,17.6293,17.5696,308.526,0.80001,0.30536,0.209835,0.155435,0.116149,0.294495,0.208467,0.154117,0.121715
SDSS,18.2914,17.537,17.2683,17.0909,18.2019,17.5126,17.2586,17.1387,308.527,-0.063004,0.406448,0.2793,0.20689,0.154599,0.391985,0.277479,0.205137,0.162008
SDSS,18.4063,17.7987,17.5807,17.4588,18.3123,17.8209,17.588,17.4964,308.527,0.354286,0.379572,0.260832,0.19321,0.144377,0.366066,0.259131,0.191572,0.151295
SDSS,18.838,18.2653,18.0238,17.8899,18.7308,18.2757,18.0214,17.9322,308.529,-0.878646,0.599056,0.411656,0.304932,0.227861,0.57774,0.408971,0.302347,0.23878
SDSS,18.9972,18.574,18.414,18.3356,18.9948,18.5546,18.4278,18.4002,308.53,0.714703,0.308082,0.211706,0.15682,0.117184,0.29712,0.210325,0.155491,0.1228
SDSS,18.633,18.1612,17.9937,17.9024,18.5904,18.1693,17.9983,17.955,308.531,-0.0410413,0.403093,0.276995,0.205183,0.153323,0.38875,0.275188,0.203443,0.160671
SDSS,18.1828,17.642,17.4706,17.3649,18.1112,17.6452,17.466,17.405,308.532,-0.0804796,0.405063,0.278349,0.206186,0.154073,0.39065,0.276534,0.204438,0.161456
SDSS,18.8023,18.4137,18.2545,18.1854,18.7347,18.5323,18.2408,18.2039,308.533,0.757871,0.303103,0.208284,0.154286,0.11529,0.292318,0.206926,0.152978,0.120815
SDSS,18.4573,17.8363,17.6108,17.5035,18.3947,17.8301,17.6216,17.5527,308.534,1.15372,0.299336,0.205696,0.152368,0.113858,0.288685,0.204354,0.151077,0.119314
SDSS,16.9523,16.3512,16.1419,15.9953,16.8559,16.3415,16.1227,16.0338,308.535,-1.00301,0.57685,0.396396,0.293628,0.219415,0.556324,0.393811,0.29114,0.229929
SDSS,17.4269,16.8913,16.7212,16.6266,17.3389,16.8986,16.7168,16.6538,308.536,0.376613,0.378297,0.259956,0.192561,0.143892,0.364836,0.258261,0.190929,0.150787
SDSS,16.3242,15.7081,15.4947,15.3919,16.2467,15.7021,15.4994,15.4249,308.536,0.327376,0.375458,0.258005,0.191116,0.142812,0.362098,0.256322,0.189496,0.149655
SDSS,18.5728,18.1063,17.9366,17.8591,18.4846,18.0903,17.9477,17.8783,308.539,0.74472,0.302169,0.207642,0.15381,0.114935,0.291417,0.206288,0.152506,0.120443
SDSS,17.0766,16.4985,16.3198,16.2403,16.9925,16.4913,16.319,16.2626,308.539,0.643041,0.323973,0.222626,0.164909,0.123229,0.312445,0.221174,0.163511,0.129134
SDSS,16.6919,16.1281,15.9393,15.8468,16.608,16.1234,15.9251,15.858,308.54,-0.0565604,0.403193,0.277064,0.205233,0.153361,0.388846,0.275257,0.203494,0.16071
SDSS,17.8127,17.2389,17.0449,16.9355,17.7181,17.2279,17.0353,16.9587,308.54,-0.0666416,0.402934,0.276885,0.205101,0.153263,0.388596,0.27508,0.203363,0.160607
SDSS,17.8614,17.25,17.0043,16.8664,17.7391,17.2392,17.0139,16.9118,308.54,-0.565507,0.567329,0.389854,0.288782,0.215793,0.547142,0.387311,0.286334,0.226134
SDSS,18.3097,17.8255,17.6547,17.5808,18.2372,17.8289,17.6531,17.5915,308.541,1.11782,0.295666,0.203174,0.1505,0.112462,0.285145,0.201849,0.149224,0.117851
SDSS,18.4705,17.7121,17.4299,17.2724,18.3653,17.7033,17.428,17.3186,308.542,0.333172,0.374655,0.257453,0.190707,0.142506,0.361323,0.255774,0.18909,0.149335
SDSS,17.8088,17.2499,17.0714,16.9502,17.7232,17.2444,17.0502,16.9771,308.545,-0.102324,0.399863,0.274775,0.203538,0.152095,0.385635,0.272983,0.201813,0.159383
SDSS,15.6186,15.1212,14.9736,14.9105,15.5502,15.1106,14.9674,14.9407,308.546,0.680197,0.312465,0.214718,0.159051,0.118851,0.301347,0.213317,0.157703,0.124547
SDSS,17.4044,16.8939,16.7147,16.6277,17.3438,16.8909,16.7221,16.6578,308.546,0.671821,0.315077,0.216513,0.160381,0.119845,0.303866,0.215101,0.159021,0.125588
SDSS,18.3436,17.8558,17.6869,17.6042,18.2927,17.8606,17.6831,17.6448,308.547,0.403293,0.378562,0.260138,0.192696,0.143993,0.365092,0.258441,0.191062,0.150893
SDSS,17.3729,16.4752,16.1545,15.936,17.2393,16.4681,16.1395,15.9859,308.547,-0.0555983,0.401369,0.27581,0.204305,0.152668,0.387087,0.274011,0.202573,0.159983
SDSS,18.2548,17.4657,17.1722,16.9805,18.1281,17.4618,17.1443,17.0034,308.548,-0.0302776,0.399081,0.274238,0.20314,0.151797,0.38488,0.272449,0.201418,0.159071
SDSS,18.4017,17.9216,17.7706,17.7084,18.3011,17.8927,17.7916,17.69,308.548,0.718762,0.301702,0.207322,0.153573,0.114758,0.290967,0.20597,0.152271,0.120257
SDSS,18.9771,18.3459,18.1255,18.0064,18.9244,18.346,18.1332,18.0515,308.549,-0.071713,0.400288,0.275067,0.203755,0.152256,0.386045,0.273273,0.202028,0.159552
SDSS,15.9242,15.2013,14.951,14.8,15.8214,15.1931,14.9316,14.8317,308.549,-0.046262,0.400122,0.274953,0.20367,0.152193,0.385885,0.27316,0.201944,0.159486
SDSS,18.4181,17.907,17.7353,17.6521,18.3874,17.9184,17.7378,17.6848,308.549,0.362641,0.375358,0.257936,0.191065,0.142774,0.362002,0.256254,0.189446,0.149616
SDSS,18.6236,18.2716,18.1327,18.0795,18.5938,18.2735,18.1344,18.0992,308.55,0.773536,0.297509,0.204441,0.151438,0.113163,0.286923,0.203107,0.150155,0.118586
SDSS,18.5624,17.8796,17.6519,17.5207,18.4872,17.8937,17.6563,17.5767,308.551,0.401319,0.377512,0.259416,0.192161,0.143593,0.364079,0.257725,0.190533,0.150474
SDSS,18.5603,18.0962,17.9151,17.8528,18.4851,18.1051,17.94,17.9065,308.552,1.2194,0.29693,0.204043,0.151143,0.112942,0.286365,0.202712,0.149862,0.118355
SDSS,16.9476,16.4402,16.2496,16.1448,16.8781,16.4428,16.2554,16.1929,308.553,0.356824,0.374111,0.257079,0.19043,0.142299,0.360799,0.255402,0.188816,0.149118
SDSS,16.1029,15.6504,15.4617,15.3942,16.0198,15.6248,15.4556,15.4029,308.554,-0.938614,0.574362,0.394687,0.292362,0.218468,0.553925,0.392113,0.289884,0.228937
SDSS,17.5815,16.994,16.7915,16.6952,17.5016,16.9809,16.7924,16.7272,308.554,0.3248,0.3718,0.255491,0.189254,0.141421,0.358571,0.253825,0.18765,0.148198
SDSS,18.7821,18.1427,17.9334,17.7933,18.6502,18.1287,17.9166,17.8389,308.554,-0.128103,0.391989,0.269364,0.19953,0.1491,0.378041,0.267608,0.197839,0.156244
SDSS,16.8649,16.336,16.155,16.0514,16.7923,16.3477,16.1512,16.0957,308.555,0.396276,0.376485,0.258711,0.191639,0.143203,0.363089,0.257024,0.190014,0.150065
SDSS,18.8086,18.0275,17.7455,17.594,18.724,18.0244,17.7615,17.6536,308.555,1.20414,0.293898,0.201959,0.1496,0.111789,0.28344,0.200642,0.148332,0.117146
SDSS,17.3422,16.8216,16.6379,16.5597,17.2768,16.8194,16.6494,16.6004,308.555,0.350354,0.373168,0.256431,0.18995,0.141941,0.35989,0.254759,0.18834,0.148743
SDSS,18.7933,17.8124,17.453,17.2249,18.6902,17.7852,17.4361,17.2731,308.556,-0.957593,0.569729,0.391503,0.290004,0.216706,0.549457,0.38895,0.287546,0.227091
SDSS,17.6169,17.1024,16.931,16.8424,17.5529,17.0921,16.9266,16.8891,308.557,0.658331,0.318917,0.219152,0.162335,0.121306,0.30757,0.217722,0.16096,0.127119
SDSS,18.5386,17.7941,17.5189,17.362,18.4073,17.7687,17.5252,17.3924,308.559,0.670963,0.314211,0.215917,0.15994,0.119515,0.30303,0.214509,0.158584,0.125243
SDSS,18.8818,18.082,17.7758,17.5966,18.7779,18.0932,17.7859,17.6788,308.559,0.368729,0.373796,0.256863,0.19027,0.14218,0.360495,0.255187,0.188657,0.148993
