survey,Foundation-g,Foundation-r,Foundation-i,Foundation-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,Foundation-g_AV,Foundation-r_AV,Foundation-i_AV,Foundation-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
Foundation,17.6944,17.4836,17.4089,17.3833,17.6832,17.4853,17.4048,17.3927,54.5659,-27.3535,0.0345098,0.0244288,0.0180599,0.0142629,0.0345098,0.0244288,0.0180599,0.0142629
Foundation,18.9114,18.2969,18.0304,17.9198,18.9332,18.2832,18.005,17.8903,54.4527,-27.3321,0.0361102,0.0255617,0.0188975,0.0149244,0.0361102,0.0255617,0.0188975,0.0149244
Foundation,18.9326,18.5451,18.3776,18.3273,18.9205,18.5315,18.3701,18.3056,54.4089,-27.5323,0.0346855,0.0245532,0.0181519,0.0143355,0.0346855,0.0245532,0.0181519,0.0143355
Foundation,18.3766,17.898,17.7105,17.6391,18.3557,17.8891,17.7144,17.6377,54.5839,-27.4298,0.0347605,0.0246063,0.0181911,0.0143665,0.0347605,0.0246063,0.0181911,0.0143665
Foundation,17.4308,17.0198,16.8583,16.824,17.4347,17.0149,16.8671,16.8232,54.6885,-27.7385,0.0326266,0.0230957,0.0170744,0.0134846,0.0326266,0.0230957,0.0170744,0.0134846
Foundation,18.0863,17.4547,17.1727,17.0659,18.0655,17.4538,17.1791,17.0781,54.628,-27.7379,0.0325226,0.0230221,0.0170199,0.0134416,0.0325226,0.0230221,0.0170199,0.0134416
Foundation,18.1874,17.7231,17.542,17.4816,18.1973,17.6863,17.5476,17.4809,54.6892,-27.7505,0.0323494,0.0228995,0.0169293,0.01337,0.0323494,0.0228995,0.0169293,0.01337
Foundation,18.8186,18.206,17.9631,17.8638,18.8466,18.2073,17.9613,17.8769,54.5635,-27.6487,0.0345715,0.0244725,0.0180922,0.0142884,0.0345715,0.0244725,0.0180922,0.0142884
Foundation,17.6868,17.3645,17.2327,17.2188,17.6577,17.3639,17.2362,17.2212,54.6394,-27.4925,0.0358456,0.0253744,0.018759,0.014815,0.0358456,0.0253744,0.018759,0.014815
Foundation,18.9658,18.4539,18.2345,18.1301,19.041,18.4749,18.2253,18.1342,54.6751,-27.4871,0.0373887,0.0264667,0.0195665,0.0154528,0.0373887,0.0264667,0.0195665,0.0154528
