survey,CFA3K-B,CFA3K-V,CFA3K-r,CFA3K-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CFA3K-B_AV,CFA3K-V_AV,CFA3K-r_AV,CFA3K-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
CFA3K,16.2162,15.3434,14.983,14.6752,15.6923,14.9842,14.6895,14.5661,160.089,9.22268,0.111943,0.0860139,0.0703427,0.0509784,0.100046,0.0708207,0.0523569,0.0413491
CFA3K,17.1248,16.5424,16.382,16.2222,16.7478,16.3712,16.2357,16.2079,160.078,9.22793,0.112137,0.0861635,0.0704649,0.051067,0.10022,0.0709438,0.0524479,0.041421
CFA3K,15.7518,15.1504,14.9776,14.8192,15.333,14.9431,14.7975,14.7589,160.07,9.12205,0.105116,0.0807687,0.0660531,0.0478697,0.0939453,0.066502,0.0491642,0.0388277
CFA3K,17.5538,16.9234,16.742,16.5919,17.1221,16.7122,16.5722,16.5453,160.059,9.13061,0.104793,0.0805203,0.0658499,0.0477224,0.0936563,0.0662975,0.0490129,0.0387082
CFA3K,17.3771,16.6277,16.3926,16.1568,16.9225,16.3807,16.1592,16.0846,160.027,9.17412,0.105176,0.0808148,0.0660908,0.047897,0.0939989,0.06654,0.0491922,0.0388498
CFA3K,16.1133,15.6236,15.4941,15.3877,15.8042,15.5138,15.401,15.3823,43.6244,42.6727,0.324755,0.249534,0.20407,0.147893,0.290242,0.205457,0.151892,0.119957
CFA3K,15.7766,15.1733,14.9895,14.8564,15.3866,15.0019,14.8687,14.834,43.5786,42.6527,0.318614,0.244815,0.200211,0.145096,0.284754,0.201572,0.14902,0.117689
CFA3K,15.8169,15.1569,14.9601,14.7874,15.379,14.9469,14.7907,14.7339,43.5528,42.6583,0.316028,0.242828,0.198586,0.143918,0.282443,0.199936,0.14781,0.116734
CFA3K,15.8346,15.3359,15.2054,15.0937,15.5027,15.1983,15.1017,15.0965,43.5185,42.7136,0.31905,0.24515,0.200485,0.145294,0.285143,0.201847,0.149223,0.11785
CFA3K,16.2738,15.6665,15.4787,15.3264,15.9001,15.4918,15.3374,15.3094,39.0861,-17.3297,0.0958597,0.0736562,0.0602365,0.0436543,0.0856725,0.0606459,0.0448347,0.0354085
CFA3K,16.6268,16.063,15.8994,15.7737,16.2461,15.8937,15.7554,15.7298,39.0295,-17.3185,0.0888113,0.0682404,0.0558074,0.0404445,0.0793731,0.0561867,0.0415381,0.032805
CFA3K,16.9603,16.402,16.2242,16.0792,16.579,16.1979,16.0526,16.0139,38.9748,-17.337,0.0841302,0.0646435,0.0528658,0.0383127,0.0751894,0.0532251,0.0393487,0.0310758
CFA3K,16.8564,16.2722,16.0737,15.8997,16.5488,16.112,15.9442,15.9029,32.7981,35.0206,0.322598,0.247876,0.202714,0.14691,0.288314,0.204092,0.150883,0.11916
CFA3K,17.4404,16.6255,16.4232,16.1603,16.9501,16.4151,16.1972,16.1185,32.7965,34.9154,0.3176,0.244036,0.199574,0.144634,0.283848,0.20093,0.148545,0.117315
CFA3K,17.1579,16.5662,16.3877,16.2015,16.767,16.3584,16.2017,16.1411,32.7266,34.9412,0.308895,0.237347,0.194104,0.14067,0.276068,0.195423,0.144474,0.114099
CFA3K,17.0107,16.52,16.3724,16.2183,16.7219,16.3907,16.249,16.2229,32.691,35.0495,0.31335,0.240771,0.196904,0.142699,0.28005,0.198242,0.146558,0.115745
CFA3K,16.2459,15.6587,15.4864,15.318,15.8445,15.4803,15.3087,15.2631,32.6339,34.9555,0.303814,0.233443,0.190911,0.138356,0.271527,0.192209,0.142097,0.112222
CFA3K,16.7961,16.0157,15.7334,15.503,16.3299,15.7569,15.5208,15.4373,32.6214,35.0207,0.305552,0.234779,0.192003,0.139148,0.27308,0.193308,0.14291,0.112864
CFA3K,16.6906,15.8647,15.5647,15.2877,16.2001,15.5719,15.3036,15.1971,32.6172,34.9996,0.304059,0.233632,0.191065,0.138468,0.271746,0.192364,0.142212,0.112313
CFA3K,16.632,16.0289,15.8486,15.6885,16.2474,15.838,15.6879,15.6539,126.811,21.5914,0.146252,0.112377,0.0919022,0.0666029,0.13071,0.0925268,0.0684039,0.0540224
CFA3K,16.0096,15.3812,15.1939,15.0468,15.6357,15.1846,15.0378,15.0129,126.793,21.5567,0.145169,0.111544,0.0912213,0.0661094,0.129741,0.0918413,0.0678971,0.0536221
CFA3K,16.501,15.9419,15.777,15.6349,16.1617,15.7595,15.6201,15.5999,126.79,21.5656,0.145445,0.111757,0.0913952,0.0662355,0.129989,0.0920164,0.0680266,0.0537243
CFA3K,15.9316,15.2705,15.0616,14.8745,15.5651,15.1015,14.9124,14.8768,126.778,21.7313,0.159759,0.122755,0.10039,0.0727539,0.142781,0.101072,0.0747213,0.0590115
CFA3K,16.4983,15.9315,15.7736,15.6555,16.1012,15.7387,15.6292,15.6132,126.703,21.5642,0.149742,0.115058,0.0940952,0.0681922,0.133829,0.0947347,0.0700362,0.0553115
CFA3K,16.1193,15.6009,15.459,15.3282,15.8164,15.4651,15.3389,15.3319,126.696,21.6968,0.164822,0.126645,0.103571,0.0750594,0.147306,0.104275,0.0770891,0.0608815
CFA3K,15.6441,15.2384,15.127,15.0104,15.4066,15.1206,15.0211,15.0313,132.395,36.1584,0.115188,0.0885074,0.0723818,0.0524562,0.102946,0.0728737,0.0538747,0.0425478
CFA3K,17.5591,16.9624,16.7646,16.5868,17.1931,16.7595,16.5908,16.5463,132.394,36.0781,0.11314,0.0869342,0.0710953,0.0515238,0.101117,0.0715784,0.0529171,0.0417915
CFA3K,16.536,15.7377,15.4389,15.1691,16.0405,15.4335,15.1638,15.0849,132.339,36.0781,0.116207,0.0892902,0.073022,0.0529202,0.103857,0.0735183,0.0543512,0.0429241
CFA3K,17.3971,16.8341,16.638,16.4661,17.0373,16.6332,16.4685,16.4203,132.333,36.1404,0.117457,0.0902507,0.0738075,0.0534894,0.104974,0.0743091,0.0549358,0.0433859
CFA3K,16.6681,16.0581,15.8477,15.6465,16.3016,15.8473,15.66,15.6007,132.307,36.1752,0.118402,0.0909771,0.0744015,0.0539199,0.105819,0.0749072,0.055378,0.0437351
CFA3K,15.7617,15.0667,14.8283,14.6221,15.3702,14.8529,14.6625,14.6024,132.277,36.214,0.119175,0.0915714,0.0748876,0.0542722,0.10651,0.0753966,0.0557398,0.0440208
CFA3K,16.6204,16.1071,15.946,15.7995,16.3776,15.9999,15.8548,15.8345,132.256,36.2115,0.119023,0.0914541,0.0747917,0.0542027,0.106374,0.0753,0.0556684,0.0439644
CFA3K,17.3611,16.8844,16.7526,16.5998,17.0167,16.6963,16.5787,16.5641,132.241,36.1026,0.117475,0.0902647,0.0738189,0.0534977,0.10499,0.0743206,0.0549443,0.0433926
CFA3K,16.8021,15.8474,15.4761,15.1146,16.2566,15.4935,15.1379,14.9908,50.0797,41.445,0.570125,0.438069,0.358256,0.259633,0.509536,0.36069,0.266654,0.210591
CFA3K,16.1618,15.4477,15.2125,14.9978,15.7483,15.2298,15.0246,14.9523,50.0532,41.4226,0.56643,0.43523,0.355934,0.257951,0.506234,0.358353,0.264926,0.209227
CFA3K,16.7986,16.2343,16.0313,15.8384,16.4768,16.0559,15.8977,15.85,50.0303,41.5834,0.572432,0.439843,0.359706,0.260684,0.511598,0.36215,0.267733,0.211444
CFA3K,16.679,15.9127,15.6471,15.4198,16.1982,15.6518,15.4506,15.371,49.9334,41.5404,0.569224,0.437378,0.35769,0.259223,0.508731,0.360121,0.266233,0.210259
CFA3K,16.6322,15.9101,15.6775,15.478,16.1497,15.6624,15.4716,15.3951,49.9285,41.4219,0.556179,0.427354,0.349493,0.253283,0.497073,0.351868,0.260132,0.20544
CFA3K,16.016,15.3129,15.0729,14.8676,15.5641,15.0731,14.8885,14.8258,49.9239,41.5102,0.566657,0.435405,0.356077,0.258054,0.506437,0.358497,0.265032,0.209311
CFA3K,17.0166,16.2163,15.9451,15.677,16.5284,15.9596,15.7059,15.6086,49.9122,41.4854,0.563571,0.433034,0.354137,0.256649,0.503678,0.356544,0.263589,0.208171
CFA3K,16.8642,16.1927,15.9773,15.7792,16.3942,15.9501,15.7562,15.6985,49.8828,41.4528,0.55942,0.429844,0.351529,0.254758,0.499969,0.353918,0.261647,0.206637
CFA3K,16.8166,16.154,15.9253,15.7227,16.4244,15.916,15.7678,15.712,105.476,14.1601,0.28432,0.218465,0.178661,0.129479,0.254105,0.179876,0.13298,0.105022
